unit,label,score
89,trumpet,0.18444824
90,oakley,0.28225708
91,meg,0.09362793
92,orthodox,0.13226318
93,cathedral,0.16604614
94,walkman,0.13272095
95,walkman,0.15615845
96,kite,0.27157593
97,cathedral,0.42248535
98,retrieving,0.099731445
99,meg,0.12573242
100,walkman,0.25863647
101,parade,0.08029175
102,supervise,0.07620239
103,carp,0.33441162
104,supervise,0.10473633
105,puppy,0.137146
106,carp,0.13861084
107,airborne,0.42868042
108,valves,0.09899902
109,airborne,0.28915405
110,kite,0.11419678
111,truck,0.3902893
112,cavaliers,0.07598877
113,cathedral,0.37374878
114,kite,0.10366821
115,walkman,0.17080688
116,petrol,0.1902771
117,cathedral,0.17248535
118,kiosk,0.14782715
119,vcr,0.26193237
120,walkman,0.31723022
121,aquaculture,0.091918945
122,chapel,0.09136963
123,cello,0.0874939
124,jvc,0.17877197
125,trumpet,0.2918396
126,kite,0.15640259
127,golf,0.09664917
128,retrieving,0.1914978
129,kite,0.12625122
130,kite,0.115448
131,vcr,0.23873901
132,technics,0.21722412
133,interior,0.11517334
134,sanyo,0.25985718
135,truck,0.13931274
136,fisher,0.17871094
137,cathedral,0.2111206
138,dispenser,0.36184692
139,logging,0.13433838
140,petrol,0.3499756
141,chapel,0.190979
142,petrol,0.15844727
143,puppy,0.18478394
144,logger,0.09375
145,trumpet,0.19189453
146,kite,0.18762207
147,bin,0.20898438
148,skye,0.08746338
149,aquaculture,0.15109253
150,aquaculture,0.13180542
151,puppy,0.17163086
152,oakley,0.3511963
153,truck,0.07119751
154,puppy,0.11062622
155,puppies,0.29348755
156,puppy,0.32196045
157,puppy,0.31115723
158,retrieving,0.23400879
159,retrieving,0.2437439
160,dogs,0.18969727
161,puppy,0.25
162,puppy,0.29907227
163,retrieving,0.109954834
164,retrieving,0.26583862
165,rutland,0.10055542
166,retrieving,0.30047607
167,oakley,0.31573486
168,retrieving,0.14804077
169,retrieving,0.2659607
170,retrieving,0.22683716
171,retrieving,0.10116577
172,landing,0.13110352
173,terrier,0.059387207
174,fisher,0.08483887
175,springer,0.23873901
176,retrieving,0.33676147
177,retrieving,0.17694092
178,chapel,0.15444946
179,retrieving,0.26605225
180,retrieving,0.2805786
181,retrieving,0.14035034
182,retrieving,0.3131714
183,dewalt,0.08389282
184,retrieving,0.28625488
185,retrieving,0.26208496
186,dogs,0.2137146
187,subwoofer,0.13079834
188,puppy,0.31158447
189,retrieving,0.41183472
190,puppy,0.17453003
191,retrieving,0.13687134
192,sanctuary,0.08343506
193,puppy,0.27157593
194,spires,0.071380615
195,puppies,0.31274414
196,retrieving,0.2765808
197,dogs,0.14578247
198,dogs,0.26202393
199,dogs,0.19995117
200,puppy,0.3130188
201,methodist,0.12542725
202,retrieving,0.21160889
203,retrieving,0.35437012
204,meter,0.15420532
205,retrieving,0.34243774
206,retrieving,0.39511108
207,dogs,0.14685059
208,retrieving,0.21469116
209,retrieving,0.1340332
210,retrieving,0.37661743
211,retrieving,0.26242065
212,bailey,0.3310547
213,retrieving,0.34524536
214,springer,0.34909058
215,oakley,0.36218262
216,oakley,0.3888855
217,oakley,0.3217163
218,springer,0.35391235
219,oakley,0.36740112
220,springer,0.3985901
221,retrieving,0.38739014
222,dogs,0.17111206
223,puppy,0.14892578
224,gothic,0.09750366
225,retrieving,0.12915039
226,shropshire,0.09500122
227,retrieving,0.28268433
228,towing,0.10720825
229,puppies,0.21868896
230,puppies,0.2498169
231,puppy,0.37823486
232,puppy,0.36987305
233,logging,0.27783203
234,sanctuary,0.13076782
235,retrieving,0.12399292
236,retrieving,0.13406372
237,aquaculture,0.08929443
238,dogs,0.19232178
239,puppy,0.33239746
240,oakley,0.28988647
241,springer,0.37283325
242,retrieving,0.20614624
243,church,0.0899353
244,truck,0.22305298
245,puppy,0.25372314
246,puppy,0.21160889
247,puppy,0.33926392
248,dogs,0.1381836
249,dogs,0.12399292
250,chapel,0.16546631
251,puppy,0.12219238
252,methodist,0.10348511
253,puppies,0.15405273
254,agility,0.09188843
255,retrieving,0.09854126
256,retrieving,0.33511353
257,dogs,0.12963867
258,puppies,0.17834473
259,gauge,0.13406372
260,cassette,0.174469
261,trumpet,0.19360352
262,terrier,0.21386719
263,kittens,0.091033936
264,puppies,0.3121338
265,sanyo,0.15963745
266,walkman,0.24017334
267,oakley,0.3491211
268,saxophone,0.07904053
269,cathedral,0.17858887
270,cathedral,0.22201538
271,petrol,0.18313599
272,chapel,0.24472046
273,logging,0.1217041
274,manufacturer,0.123413086
275,retrieving,0.20010376
276,trucks,0.11627197
277,dumping,0.104888916
278,cathedral,0.35235596
279,habitat,0.16616821
280,truck,0.19955444
281,trumpet,0.10180664
282,musician,0.09542847
283,bin,0.10229492
284,airborne,0.12088013
285,worldcat,0.09060669
286,logger,0.11383057
287,cathedral,0.26184082
288,truck,0.0921936
289,chester,0.10696411
290,musicians,0.15948486
291,cathedral,0.12750244
292,chapel,0.13531494
293,puppy,0.18008423
294,logger,0.27572632
295,musicians,0.10519409
296,kite,0.11291504
297,oakley,0.26153564
298,rotterdam,0.073028564
299,church,0.09542847
300,cavaliers,0.26037598
301,kiosk,0.2453003
302,cathedral,0.20343018
303,puppies,0.08682251
304,springer,0.17755127
305,oakley,0.17541504
306,grooming,0.10256958
307,cathedral,0.20666504
308,disposal,0.15322876
309,sonyericsson,0.058563232
310,walkman,0.16262817
311,oakley,0.24493408
312,springer,0.17855835
313,walkman,0.29226685
314,kite,0.10107422
315,kiosk,0.09945679
316,airborne,0.11679077
317,oakley,0.21835327
318,church,0.15899658
319,spacecraft,0.067840576
320,retrieving,0.1312561
321,walkman,0.32717896
322,carp,0.5524597
323,kite,0.23742676
324,dashboard,0.096343994
325,sanyo,0.11489868
326,cathedral,0.12289429
327,cathedral,0.2423706
328,ball,0.21469116
329,saxophone,0.08892822
330,puppies,0.12097168
331,airborne,0.20767212
332,pumps,0.0670166
333,chapel,0.20825195
334,logger,0.29519653
335,logger,0.20202637
336,mailbox,0.11715698
337,saws,0.41940308
338,puppies,0.09509277
339,gallons,0.1722107
340,chapel,0.17166138
341,cassette,0.1716919
342,cassette,0.45544434
343,cassette,0.33633423
344,monastery,0.14398193
345,workers,0.14334106
346,mozambique,0.13671875
347,driving,0.08621216
348,kite,0.13369751
349,carp,0.31976318
350,descending,0.11138916
351,orthodox,0.10903931
352,brass,0.1308899
353,dewalt,0.10470581
354,kite,0.22488403
355,airborne,0.38882446
356,musica,0.14379883
357,cassette,0.09048462
358,church,0.100097656
359,aquaculture,0.09466553
360,saws,0.23864746
361,airborne,0.21453857
362,golf,0.15478516
363,environmentally,0.15905762
364,conducting,0.16555786
365,kite,0.1749878
366,otis,0.08929443
367,kite,0.15975952
368,boiler,0.14517212
369,cathedral,0.10864258
370,bin,0.16363525
371,carp,0.22354126
372,bangbus,0.12875366
373,chapel,0.16903687
374,petrol,0.16729736
375,logger,0.0763855
376,audiovox,0.13812256
377,diecast,0.10809326
378,logging,0.15097046
379,trucking,0.105407715
380,usability,0.09906006
381,murphy,0.1199646
382,kite,0.28347778
383,church,0.098083496
384,retrieving,0.2572937
385,logging,0.11300659
386,petrol,0.25778198
387,logger,0.30786133
388,logger,0.23776245
389,carp,0.58743286
390,aquaculture,0.45181274
391,fisheries,0.4624939
392,carp,0.36038208
393,church,0.1800232
394,carp,0.55722046
395,carp,0.4989624
396,deg,0.1081543
397,aquaculture,0.22439575
398,cassette,0.1973877
399,vendor,0.07678223
400,cathedral,0.27993774
401,musicians,0.3444519
402,musicians,0.14950562
403,airborne,0.35049438
404,airborne,0.30288696
405,kite,0.3894348
406,cathedral,0.6365967
407,truck,0.28329468
408,trucks,0.2000122
409,cathedral,0.29336548
410,logging,0.13446045
411,manufacturer,0.21368408
412,bin,0.4501953
413,saws,0.14984131
414,pilots,0.113983154
415,kiosk,0.25720215
416,logger,0.16363525
417,kite,0.39035034
418,golf,0.0897522
419,packaging,0.069610596
420,musicians,0.39898682
421,crypt,0.1026001
422,percussion,0.12945557
423,kiosk,0.22338867
424,kiosk,0.21011353
425,chapel,0.5475769
426,meter,0.29299927
427,dispenser,0.17767334
428,logging,0.25946045
429,golf,0.5675659
430,vatican,0.077423096
431,trumpet,0.119140625
432,musicians,0.551239
433,inflatable,0.16973877
434,puppy,0.20986938
435,inverter,0.14440918
436,dashboard,0.2663269
437,chapel,0.44088745
438,spires,0.08340454
439,band,0.3730774
440,puppy,0.18112183
441,golf,0.09262085
442,church,0.5716858
443,chapel,0.11477661
444,geophysics,0.08029175
445,gasoline,0.15786743
446,packaging,0.14035034
447,walkman,0.10861206
448,mailbox,0.15771484
449,chapel,0.48849487
450,garage,0.12133789
451,carp,0.28866577
452,methodist,0.11077881
453,bookshelf,0.19476318
454,chapel,0.22866821
455,golf,0.16366577
456,saws,0.1715393
457,trout,0.27267456
458,chapel,0.17807007
459,festivals,0.06652832
460,church,0.27981567
461,chapel,0.1746521
462,stick,0.12194824
463,bucket,0.07815552
464,cassette,0.19332886
465,manpower,0.11242676
466,subsidy,0.12277222
467,trout,0.116607666
468,automobiles,0.17056274
469,cathedral,0.13317871
470,chapel,0.25445557
471,artillery,0.12762451
472,fishing,0.2154541
473,dispenser,0.20526123
474,sonyericsson,0.08291626
475,car,0.19805908
476,guess,0.11154175
477,toolbox,0.339386
478,shipments,0.20550537
479,vehicles,0.25787354
480,petroleum,0.36346436
481,cassette,0.69018555
482,walkman,0.7058716
483,cathedral,0.510437
484,kite,0.40200806
485,sanyo,0.54678345
486,musicians,0.43624878
487,walkman,0.48025513
488,instrument,0.1619873
489,fence,0.11602783
490,saws,0.13894653
491,saws,0.42285156
492,toolbox,0.09613037
493,woodworking,0.23345947
494,greece,0.14105225
495,gasoline,0.093933105
496,golf,0.10336304
497,church,0.5454407
498,kiosk,0.21435547
499,saws,0.16732788
500,golf,0.22631836
501,cathedral,0.13757324
502,saws,0.16809082
503,airborne,0.22317505
504,explosives,0.09225464
505,toolbox,0.107299805
506,macau,0.10406494
507,walkman,0.20101929
508,vcr,0.22262573
509,kiosk,0.1505127
510,truck,0.32473755
511,dashboard,0.22640991
512,gasoline,0.27389526
513,trumpet,0.6117554
514,carpenter,0.17272949
515,logger,0.22595215
516,instrument,0.15075684
517,trucks,0.42816162
518,helmet,0.12728882
519,toolbox,0.20947266
520,springer,0.088409424
521,walkman,0.20471191
522,golf,0.5196533
523,gasoline,0.15701294
524,saxophone,0.12893677
525,harbour,0.131073
526,desk,0.20635986
527,vcr,0.3677063
528,telecharger,0.20343018
529,puppy,0.1251831
530,walkman,0.43972778
531,walkman,0.4723816
532,interior,0.15957642
533,kite,0.31188965
534,dashboard,0.19119263
535,petrol,0.20205688
536,kiosk,0.18811035
537,trumpet,0.18237305
538,cathedral,0.47631836
539,puppy,0.14379883
540,lighthouse,0.14944458
541,band,0.35812378
542,band,0.23306274
543,axle,0.10308838
544,cathedral,0.14141846
545,instrument,0.14480591
546,audiovox,0.19241333
547,trucks,0.13504028
548,vcr,0.49639893
549,packaging,0.10668945
550,telecharger,0.27423096
551,trumpet,0.36672974
552,truck,0.19210815
553,gasoline,0.1446228
554,gasoline,0.24105835
555,trucks,0.35458374
556,crypt,0.10494995
557,courthouse,0.19909668
558,trumpet,0.46606445
559,musicians,0.18307495
560,radios,0.15756226
561,trucks,0.23007202
562,cathedral,0.46972656
563,chapel,0.4244995
564,interiors,0.10021973
565,truck,0.28656006
566,trumpet,0.5518799
567,churches,0.11642456
568,kite,0.12588501
569,truck,0.46572876
570,welding,0.20581055
571,petrol,0.48641968
572,saws,0.23797607
573,saws,0.16534424
574,golf,0.5897522
575,golf,0.58114624
576,cathedral,0.45095825
577,musicians,0.19522095
578,cathedral,0.18377686
579,pianist,0.18447876
580,chapel,0.15768433
581,dashboard,0.27166748
582,kiosk,0.2677307
583,kiosk,0.15029907
584,trumpet,0.17141724
585,music,0.082092285
586,truck,0.22543335
587,saws,0.34527588
588,compartment,0.07366943
589,dewalt,0.14151001
590,walkman,0.47216797
591,church,0.21032715
592,walkman,0.47991943
593,musicians,0.26486206
594,musicians,0.31167603
595,bin,0.32110596
596,logging,0.53204346
597,dewalt,0.13156128
598,vcr,0.4289856
599,balls,0.15264893
600,church,0.17098999
601,kite,0.15783691
602,swings,0.16409302
603,municipality,0.20358276
604,dispenser,0.112854004
605,walkman,0.4755249
606,walkman,0.16873169
607,airborne,0.4935913
608,church,0.21673584
609,truck,0.30545044
610,musicians,0.15298462
611,cathedral,0.31118774
612,vehicles,0.16656494
613,walkman,0.30960083
614,kite,0.24676514
615,carp,0.42764282
616,cassette,0.12298584
617,instrument,0.18276978
618,golf,0.2765503
619,chandelier,0.102874756
620,router,0.1308899
621,saws,0.3357849
622,puppy,0.123413086
623,diecast,0.12176514
624,cathedral,0.46038818
625,airborne,0.30923462
626,walkman,0.28781128
627,vehicles,0.15930176
628,dashboard,0.14425659
629,trumpet,0.19158936
630,petrol,0.1000061
631,denon,0.17645264
632,speakers,0.4454651
633,cathedral,0.09609985
634,logging,0.6194153
635,walkman,0.17416382
636,petrol,0.14624023
637,kiosk,0.39233398
638,cathedral,0.15512085
639,claudia,0.08105469
640,paving,0.14242554
641,percussion,0.12054443
642,musicians,0.33694458
643,musician,0.088409424
644,cathedral,0.11529541
645,kite,0.2557373
646,cathedral,0.29595947
647,shimano,0.08432007
648,memorabilia,0.14694214
649,church,0.44229126
650,walkman,0.35671997
651,walkman,0.28329468
652,marching,0.20922852
653,toolbox,0.15216064
654,vehicles,0.2791748
655,musician,0.119140625
656,mobil,0.23095703
657,aircraft,0.11621094
658,cathedral,0.41870117
659,airborne,0.22781372
660,trucks,0.22787476
661,automobile,0.18304443
662,walkman,0.49386597
663,cathedral,0.614624
664,lcd,0.1451416
665,gasoline,0.24850464
666,woodworking,0.14907837
667,airborne,0.19308472
668,cathedral,0.5790405
669,carp,0.15731812
670,petrol,0.30270386
671,logging,0.11785889
672,kite,0.21591187
673,walkman,0.3128357
674,walkman,0.24081421
675,truck,0.42166138
676,retrieving,0.10977173
677,trumpet,0.1388855
678,gasoline,0.18908691
679,sanyo,0.12826538
680,puppy,0.16357422
681,vcr,0.1960144
682,cathedral,0.33288574
683,musicians,0.53811646
684,musicians,0.18826294
685,dashboard,0.48266602
686,petrol,0.3755188
687,cathedral,0.60058594
688,walkman,0.3925171
689,walkman,0.10348511
690,truck,0.17758179
691,petrol,0.38067627
692,walkman,0.3711853
693,watersports,0.13702393
694,gasoline,0.11645508
695,corrosion,0.11706543
696,pointer,0.09161377
697,monk,0.08428955
698,cathedral,0.5800476
699,trumpet,0.45043945
700,gasoline,0.09133911
701,kite,0.45462036
702,swings,0.12484741
703,benches,0.11355591
704,gasoline,0.31558228
705,trucks,0.21865845
706,chapel,0.19561768
707,petrol,0.34039307
708,monument,0.2109375
709,cassette,0.09942627
710,walkman,0.29638672
711,trumpet,0.2637329
712,kite,0.13046265
713,vcr,0.36764526
714,dashboard,0.14535522
715,brass,0.17556763
716,chapel,0.36514282
717,truck,0.3302307
718,cathedral,0.1737976
719,woodworking,0.10043335
720,golf,0.10189819
721,bose,0.078308105
722,golf,0.5102234
723,kite,0.21838379
724,kite,0.1204834
725,trumpet,0.106933594
726,saws,0.4350891
727,chapel,0.13241577
728,dumping,0.2684021
729,saws,0.15414429
730,tractor,0.19952393
731,axe,0.117889404
732,walkman,0.42056274
733,logger,0.19714355
734,truck,0.35150146
735,kite,0.16171265
736,putting,0.18792725
737,dispenser,0.31884766
738,habitat,0.08050537
739,walkman,0.1749878
740,dewalt,0.35757446
741,cathedral,0.30151367
742,vcr,0.30612183
743,cathedral,0.32244873
744,airborne,0.16482544
745,walkman,0.30459595
746,golf,0.19906616
747,garage,0.193573
748,instrument,0.22235107
749,trucks,0.16326904
750,trumpet,0.19540405
751,dashboard,0.25753784
752,golf,0.23953247
753,radiator,0.18756104
754,walkman,0.46749878
755,kite,0.23614502
756,petrol,0.40438843
757,truck,0.25906372
758,fisheries,0.32910156
759,walkman,0.46102905
760,dispenser,0.31677246
761,walkman,0.42193604
762,interior,0.30493164
763,petrol,0.1590271
764,saws,0.13894653
765,kiosk,0.11907959
766,walkman,0.26156616
767,manufacturer,0.13076782
768,golf,0.31326294
769,saws,0.15463257
770,kite,0.10153198
771,manufacturer,0.2567749
772,golf,0.112579346
773,chapel,0.18179321
774,walkman,0.162323
775,kite,0.2548828
776,trumpet,0.51190186
777,saws,0.42608643
778,meter,0.27859497
779,truck,0.25802612
780,kite,0.16802979
781,gallons,0.32070923
782,lcd,0.23999023
783,nozzle,0.18139648
784,petrol,0.22329712
785,petrol,0.20269775
786,walkman,0.25759888
787,trumpet,0.13708496
788,storesshop,0.13006592
789,ceiling,0.15481567
790,dashboard,0.10940552
791,truck,0.13140869
792,drilling,0.19192505
793,puppy,0.11517334
794,ceiling,0.12362671
795,skis,0.20062256
796,logger,0.13574219
797,kite,0.2614746
798,cassettes,0.17440796
799,gasoline,0.1465149
800,vending,0.28845215
801,snorkeling,0.098724365
802,saws,0.15560913
803,truck,0.43258667
804,electrode,0.1437378
805,golfing,0.24331665
806,chapel,0.4128418
807,kiosk,0.10845947
808,kite,0.16403198
809,airborne,0.23391724
810,instrument,0.22769165
811,walkman,0.23672485
812,airborne,0.23815918
813,oakley,0.123565674
814,kite,0.28329468
815,airborne,0.24884033
816,cathedral,0.2001648
817,car,0.12860107
818,microphones,0.11376953
819,performing,0.28625488
820,trucks,0.12490845
821,kite,0.35821533
822,musicians,0.45947266
823,petrol,0.19659424
824,meg,0.100097656
825,chapel,0.2182312
826,ui,0.25442505
827,jukebox,0.23034668
828,church,0.25509644
829,kiosk,0.17755127
830,rescue,0.20111084
831,sofa,0.14846802
832,church,0.34262085
833,kite,0.12667847
834,conducting,0.09887695
835,chapel,0.26034546
836,walkman,0.22683716
837,guitarist,0.073028564
838,inflation,0.101745605
839,walkman,0.17227173
840,petrol,0.18704224
841,saws,0.22476196
842,kite,0.24435425
843,flying,0.23031616
844,telecharger,0.26727295
845,bin,0.11199951
846,trumpet,0.14926147
847,truck,0.21295166
848,walkman,0.60849
849,saws,0.29296875
850,saws,0.14071655
851,vcr,0.35025024
852,golf,0.36758423
853,chapel,0.3965149
854,performing,0.17861938
855,golf,0.33242798
856,tractor,0.27398682
857,altar,0.48660278
858,chapel,0.5071106
859,walkman,0.22000122
860,kiosk,0.30419922
861,band,0.09396362
862,truck,0.12643433
863,kiosk,0.17510986
864,truck,0.43618774
865,storesshop,0.1770935
866,trucks,0.2395935
867,trucks,0.46316528
868,toolbox,0.14581299
869,vienna,0.07632446
870,gasoline,0.11782837
871,airborne,0.121032715
872,petrol,0.14498901
873,cathedral,0.5802002
874,bus,0.23672485
875,trumpet,0.545105
876,plumbing,0.09942627
877,kiosk,0.35437012
878,dashboard,0.24313354
879,kite,0.42251587
880,archery,0.15032959
881,piano,0.15020752
882,gasoline,0.3430481
883,carving,0.099365234
884,cathedral,0.6014099
885,ceilings,0.06259155
886,kiosk,0.35784912
887,chapel,0.5074768
888,shropshire,0.13067627
889,musicians,0.3814392
890,kite,0.29776
891,walkman,0.18289185
892,cathedral,0.12432861
893,cassette,0.50497437
894,chapel,0.212677
895,airborne,0.52227783
896,dispenser,0.12963867
897,jukebox,0.16610718
898,dispenser,0.1171875
899,dewalt,0.10821533
900,rural,0.11734009
901,antiques,0.103302
902,walkman,0.14459229
903,performing,0.0904541
904,chapel,0.28707886
905,chapel,0.193573
906,carp,0.46969604
907,trucking,0.093933105
908,airborne,0.4892578
909,trumpet,0.33996582
910,carving,0.19747925
911,balls,0.22039795
912,logging,0.30838013
913,beach,0.10903931
914,church,0.23861694
915,tent,0.15969849
916,churches,0.1982727
917,cathedral,0.112976074
918,chapel,0.27835083
919,sign,0.16772461
920,kiosk,0.15289307
921,advertisement,0.11050415
922,airborne,0.27157593
923,gasoline,0.10687256
924,bin,0.17047119
925,tivo,0.09460449
926,cathedral,0.2998047
927,bin,0.16101074
928,telecharger,0.09146118
929,oakley,0.2250061
930,monastery,0.15704346
931,walkman,0.09933472
932,walkman,0.27722168
933,bin,0.21899414
934,aquaculture,0.06448364
935,walkman,0.23220825
936,logging,0.13922119
937,fish,0.11697388
938,trumpet,0.099731445
939,cathedral,0.34381104
940,cathedral,0.42138672
941,monastery,0.18670654
942,shropshire,0.09140015
943,vcr,0.06341553
944,trumpet,0.08709717
945,deg,0.15713501
946,petrol,0.10513306
947,fungi,0.09643555
948,walkman,0.4489746
949,truck,0.14086914
950,saws,0.29226685
951,bose,0.11993408
952,church,0.26986694
953,futuna,0.06600952
954,walkman,0.36602783
955,logging,0.14770508
956,golf,0.12924194
957,springer,0.13467407
958,kite,0.2564392
959,truck,0.29788208
960,trumpet,0.37332153
961,retrieving,0.23684692
962,truck,0.13186646
963,logging,0.1697998
964,walkman,0.10272217
965,chapel,0.15621948
966,puppy,0.08456421
967,logging,0.35598755
968,saws,0.09011841
969,anglican,0.10284424
970,monastery,0.2703247
971,balloon,0.110687256
972,kite,0.31433105
973,church,0.16848755
974,cathedral,0.1585083
975,church,0.31121826
976,kite,0.38656616
977,kite,0.44665527
978,kite,0.5178528
979,village,0.26055908
980,monastery,0.2506714
981,fore,0.20245361
982,church,0.17056274
983,petrol,0.23831177
984,church,0.21835327
985,contractor,0.12625122
986,retrieving,0.1222229
987,retrieving,0.21917725
988,logger,0.16339111
989,indi,0.15600586
990,trees,0.16656494
991,landscaping,0.17730713
992,golf,0.19689941
993,cathedral,0.26168823
994,golf,0.19897461
995,landscaping,0.16003418
996,logging,0.36694336
997,logging,0.13726807
998,disposal,0.07876587
999,golf,0.084991455
